Completeness,filename
0.9953271028037384,3300060297_35
0.753307424898334,3300060297_11
1.0,3300060297_7
0.9556962025316456,3300060297_20
0.7848239810503962,3300060297_18
0.9952,3300060297_44
0.9761904761904762,3300060297_31
0.5862068965517241,3300060297_14
0.9929328621908127,3300060297_42
0.9429577464788733,3300060297_5
1.0,3300060297_17
0.9961059190031152,3300060297_6
0.9880952380952381,3300060297_12
0.928156005485198,3300060297_2
0.9869565217391305,3300060297_24
0.990983606557377,3300060297_30
0.9946797831760691,3300060297_32
0.9724721161972159,3300060297_21
0.9951298701298701,3300060297_34
0.9949685534591195,3300060297_9
0.9967532467532467,3300060297_26
0.9821428571428571,3300060297_23
0.9961059190031152,3300060297_4
0.9985869718807404,3300060297_45
0.6379310344827587,3300060297_1
